Country,Completely dissatisfied,2,3,4,5,6,7,8,9,Completely satisfied,Sum
Argentina,12,7,20,14,73,54,189,266,135,226,996
Australia,18,19,30,40,114,121,308,457,190,115,1412
Brazil,28,14,20,32,163,129,186,356,201,364,1493
Chile,10,3,28,61,126,128,158,199,128,151,992
China,90,59,84,76,208,299,241,431,183,284,1955
Georgia,128,92,154,204,377,160,161,111,25,64,1476
Germany,15,22,66,90,228,199,387,577,323,141,2048
Ghana,97,84,117,157,114,181,221,273,120,164,1528
India,71,0,308,0,821,0,437,0,0,316,1953
Japan,10,12,41,38,92,171,219,301,146,50,1080
Jordan,114,22,20,34,145,83,123,183,106,365,1195
Morocco,27,31,115,195,373,206,130,58,22,40,1197
New Zealand,7,8,16,20,50,67,149,224,182,204,927
Poland,14,15,35,36,146,119,150,236,113,126,990
Rwanda,91,146,136,166,365,299,122,96,53,29,1503
South Africa,103,77,105,158,302,334,423,541,409,520,2972
Spain,4,2,16,24,84,165,322,338,170,70,1195
Sweden,5,5,16,21,44,61,189,364,180,117,1002
Thailand,12,11,36,53,137,217,307,429,172,158,1532
Turkey,39,17,48,38,72,133,233,286,203,277,1346
Ukraine,51,56,115,79,146,146,154,140,65,42,994
Egypt,314,125,235,256,508,314,428,372,164,335,3051
United States,6,11,25,48,91,120,286,351,219,83,1240
