Country,Extreme Poverty %
Argentina,7.56
Australia,1.35
Azerbaijan,1.58
Belarus,0.29
Brazil,9.34
Chile,1.94
China,32.03
Colombia,13.73
Ecuador,14.74
Egypt,1.81
Georgia,16.21
Germany,0
Ghana,0
India,0
Japan,0
Jordan,1.16
Morocco,6.515
New Zealand,0
Nigeria,61.84
Pakistan,32.46
Poland,0.042
Rwanda,79.37
South Africa,26.2
Spain,0.835
Sweden,0.34
Thailand,2.76
Tunisia,2.55
Turkey,1.81
Ukraine,0.65
United States,0.835
