Country,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Don´t know,Sum
Azerbaijan,651,216,65,61,9,1002
Argentina,944,78,3,1,1,1027
Australia,12,251,10,5,0,278
Brazil,1042,337,68,34,4,1485
Belarus,1343,167,14,5,6,1535
Chile,868,110,19,2,0,999
China,1966,205,13,1,3,2188
Colombia,1224,196,74,17,0,1511
Ecuador,101,125,52,15,0,293
Georgia,1099,93,2,2,1,1197
Germany,1554,389,70,22,1,2036
Ghana,1033,326,150,43,0,1552
India,3724,285,38,10,21,4078
Japan,1774,594,23,3,49,2443
Jordan,1089,95,12,4,0,1200
Morocco,1096,82,14,4,3,1199
Nigeria,1556,187,15,1,0,1759
Pakistan,1016,133,25,22,2,1198
Poland,669,269,15,4,5,962
Rwanda,12,249,49,27,0,337
South Africa,2684,679,108,43,18,3532
Spain,1113,58,10,4,1,1186
Sweden,1071,118,8,4,0,1201
Thailand,1026,150,14,4,0,1194
Tunisia,1144,39,15,2,5,1205
Turkey,1504,80,6,6,1,1597
Ukraine,1378,103,17,2,0,1500
Egypt,1512,11,0,0,0,1523
United States,1549,566,66,28,0,2209
