Country,Mentioned,Not mentioned,Sum
Azerbaijan,742,260,1002
Argentina,419,611,1030
Australia,873,604,1477
Brazil,953,533,1486
Belarus,1345,190,1535
Chile,305,695,1000
China,1732,568,2300
Colombia,205,1307,1512
Ecuador,533,669,1202
Georgia,1098,104,1202
Germany,367,1678,2045
Ghana,1327,225,1552
India,3859,219,4078
Japan,858,1585,2443
Jordan,474,726,1200
Morocco,805,395,1200
New Zealand,422,419,841
Nigeria,1372,387,1759
Pakistan,668,532,1200
Poland,173,793,966
Rwanda,1057,470,1527
South Africa,2478,1053,3531
Spain,792,397,1189
Sweden,167,1039,1206
Thailand,939,261,1200
Tunisia,890,315,1205
Turkey,1156,449,1605
Ukraine,1287,213,1500
Egypt,768,755,1523
United States,1482,750,2232
