Country,Extreme Poverty %
Argentina,1.57
Australia,0
Azerbaijan,0
Belarus,0
Brazil,4.14
Chile,0.83
China,7.725
Colombia,5.58
Ecuador,4.19
Egypt,0
Georgia,16.07
Germany,0.34
Ghana,0
India,28.15
Japan,0
Jordan,0.08
Morocco,0
New Zealand,0
Nigeria,62.03
Pakistan,12.74
Poland,0
Rwanda,63.02
South Africa,9.42
Spain,2.34
Sweden,0
Thailand,0.31
Tunisia,0.74
Turkey,0.335
Ukraine,0
United States,1.67
