Country,Agree strongly,Agree,Disagree,Strongly disagree,Don´t know,Sum
Argentina,457,611,151,35,25,1279
Chile,495,507,154,37,8,1201
China,70,474,323,19,0,886
India,887,677,189,6,242,2001
Japan,82,693,274,16,297,1362
Jordan,1046,156,7,3,10,1222
Morocco,1016,184,10,5,35,1250
Nigeria,1604,379,28,7,4,2022
Pakistan,1305,619,63,0,13,2000
South Africa,1796,1018,139,25,21,2999
Spain,359,643,149,35,23,1209
Sweden,69,308,291,326,19,1013
Turkey,1996,1273,90,20,21,3400
Egypt,2331,597,41,0,31,3000
United States,308,672,192,14,13,1199
