Country,Mentioned,Not mentioned,Sum
Argentina,728,552,1280
Chile,310,890,1200
China,858,142,1000
India,1699,303,2002
Japan,369,993,1362
Jordan,548,675,1223
Morocco,919,332,1251
Nigeria,1622,400,2022
Pakistan,1125,875,2000
South Africa,2258,742,3000
Spain,832,377,1209
Sweden,39,975,1014
Turkey,2526,876,3402
Egypt,1153,1847,3000
United States,730,470,1200
