Country,Completely dissatisfied,2,3,4,5,6,7,8,9,Completely satisfied,Sum
Argentina,40,13,27,47,139,127,191,272,136,276,1268
Chile,15,9,48,63,150,156,197,222,102,231,1193
China,34,49,59,45,134,141,131,174,83,141,991
India,120,0,454,0,855,0,362,0,0,189,1980
Japan,22,28,65,82,176,244,219,327,91,62,1316
Jordan,105,58,76,94,302,128,165,110,54,124,1216
Morocco,68,43,86,94,401,132,110,84,54,178,1250
Nigeria,54,69,100,107,174,228,352,411,280,247,2022
Pakistan,18,95,232,156,718,310,83,72,9,0,1693
South Africa,237,177,248,255,561,260,375,306,155,423,2997
Spain,10,8,28,34,167,190,289,248,108,123,1205
Sweden,5,8,22,40,63,69,168,304,168,165,1012
Turkey,351,109,203,294,704,372,357,379,190,441,3400
Egypt,69,1285,73,66,0,202,1,0,1300,2,2998
United States,11,6,23,31,86,100,220,302,231,191,1201
