Country,Extreme Poverty %
Argentina,3.362
Australia,0
Azerbaijan,0.155
Belarus,0.024
Brazil,5.708
Chile,1.175
China,14.055
Colombia,8.702
Ecuador,6.902
Egypt,1.97
Georgia,14.304
Germany,0
Ghana,28.59
India,41.64
Japan,0.35
Jordan,0.16
Morocco,2.57
New Zealand,0
Nigeria,0.024
Pakistan,20.77
Poland,0.024
Rwanda,71.97
South Africa,15.195
Spain,1.175
Sweden,0.35
Thailand,0.665
Tunisia,1.38
Turkey,0.842
Ukraine,0.062
United States,1.33
